,index,Unnamed: 0,primaryMedia,primaryMaker,Title,Date,Classifications,Object number
0,0,0,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.1
1,1,1,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.2
2,2,2,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.3
3,3,3,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.4
4,4,4,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.5
5,5,5,,Walter Burley Griffin,"Stinson Memorial Library Grounds, Anna, Illinois",1913,Architecture & Design,1985.1.6
6,6,6,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.7
7,7,7,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.8
8,8,8,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.9
9,9,9,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.10
10,10,10,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.11
11,11,11,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.12
12,12,12,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.13
13,13,13,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.14
14,14,14,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.15
15,15,15,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.16
16,16,16,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.17
17,17,17,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.18
18,18,18,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.19
19,19,19,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.20
20,20,20,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.21
21,21,21,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.22
