,primaryMedia,primaryMaker,Title,Date,Classifications,Object number
0,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.1
1,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.2
2,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.3
3,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.4
4,,Walter Burley Griffin,Stinson Memorial Library,1913,Architecture & Design,1985.1.5
5,,Walter Burley Griffin,"Stinson Memorial Library Grounds, Anna, Illinois",1913,Architecture & Design,1985.1.6
6,,Walter Burley Griffin,Niles Club House,1909–10,Architecture & Design,1985.1.7
7,,Walter Burley Griffin,Niles Club House,1909–10,Architecture & Design,1985.1.8
8,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.9
9,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.10
10,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.11
11,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.12
12,,Walter Burley Griffin,Niles Club House,1909–10,Architecture & Design,1985.1.13
13,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.14
14,,Walter Burley Griffin,Niles Club House,1909,Architecture & Design,1985.1.15
15,,Walter Burley Griffin,Niles Club House,1909–10,Architecture & Design,1985.1.16
16,,Walter Burley Griffin,Niles Club House,1909–10,Architecture & Design,1985.1.17
17,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.18
18,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.19
19,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.20
20,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.21
21,,Walter Burley Griffin,Walter Burley Griffin Dwelling,1912,Architecture & Design,1985.1.22
22,,Walter Burley Griffin,Albert Cohn Two Flat Building,1909,Architecture & Design,1985.1.23
23,,Walter Burley Griffin,"Harry E. Gunn Dwelling, Chicago, Illinois",1909,Architecture & Design,1985.1.24
24,,Walter Burley Griffin,Harry E. Gunn Dwelling,1909 or 1911–12,Architecture & Design,1985.1.25
25,,Walter Burley Griffin,"Fireplace Design for H.M. Mess Dwelling, Winnetka, Illinois",1912,Drawing,1985.1.26
26,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.27
27,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.28
28,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.29
29,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.30
30,,Walter Burley Griffin,H.M. Mess Dwelling,1912,Architecture & Design,1985.1.31
31,,Walter Burley Griffin,"G.B. Cooley Dwelling, Monroe, Louisiana",1910,Architecture & Design,1985.1.32
32,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.33
33,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.34
34,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.35
35,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.36
36,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.37
37,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.38
38,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.39
39,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.40
40,Image Not Available for Monroe Country Club,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.41
41,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.42
42,,Walter Burley Griffin,Monroe Country Club,1913,Architecture & Design,1985.1.43
43,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.44
44,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.45
45,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.46
46,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.47
47,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.48
48,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.49
49,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.50
0,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.51
1,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.52
2,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.53
3,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.54
4,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.55
5,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.56
6,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.57
7,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.58
8,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.59
9,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.60
10,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.61
11,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.62
12,,Walter Burley Griffin,J.E. Blythe Drive,1914,Architecture & Design,1985.1.63
13,,Walter Burley Griffin,Frank Pallma Dwelling,1911,Architecture & Design,1985.1.64
14,,Walter Burley Griffin,Frank Pallma Dwelling,1911,Architecture & Design,1985.1.65
15,,Walter Burley Griffin,Temple of Music,Date unknown,Architecture & Design,1985.1.66
16,,Walter Burley Griffin,William F. Tempel Dwelling,Date unknown,Architecture & Design,1985.1.67
17,,Walter Burley Griffin,William F. Tempel Dwelling,Date unknown,Architecture & Design,1985.1.68
18,,Marion Mahony Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Architecture & Design,1985.1.69
19,,Walter Burley Griffin,"Henry Ford Dwelling, Dearborn, Michigan",1912,Architecture & Design,1985.1.70
20,,Walter Burley Griffin,F.L. Morse Dwelling,1914,Architecture & Design,1985.1.71
21,,Marion Mahony Griffin,"Grounds for Mrs. Jessie Willard Bolte, Hubbard Woods, Illinois",1909,Drawing,1985.1.73
22,,Walter Burley Griffin,"Victor E. Cromer Sanitorium, Covecrag, Sydney",1927,Architecture & Design,1985.1.74
23,,Walter Burley Griffin,Mr. A. Richards Dwelling,1929,Architecture & Design,1985.1.75
24,,Walter Burley Griffin,J. and J. Wearne and E. Finlay Dwelling,1925,Architecture & Design,1985.1.76
25,,Walter Burley Griffin,J. and J. Wearne and E. Finlay Dwelling,1925,Architecture & Design,1985.1.77
26,,Walter Burley Griffin,Willoughby Incinerator,1934–35,Architecture & Design,1985.1.78
27,,Walter Burley Griffin,Incinerator for Municipality of Granville,1930,Architecture & Design,1985.1.79
28,,Walter Burley Griffin,Incinerator for Reverberatory Incinerator and Engineering Company,ca. 1934,Architecture & Design,1985.1.80
29,,Walter Burley Griffin,Incinerator,Date unknown,Architecture & Design,1985.1.81
30,,Walter Burley Griffin,"Moore Park Incinerator, Sydney, Australia",1933,Architecture & Design,1985.1.82
31,,Walter Burley Griffin or Dwight Perkins,William P. Gray School Grounds Development,1914,Architecture & Design,1985.1.83
32,,Walter Burley Griffin,Title unknown,1912,Architecture & Design,1985.1.84
33,,Walter Burley Griffin,Title unknown,1912,Architecture & Design,1985.1.85
34,,Walter Burley Griffin,Title unknown,1912,Architecture & Design,1985.1.86
35,,Walter Burley Griffin,Title unknown,Date unknown,Architecture & Design,1985.1.87
36,,Marion Mahony Griffin,"Tree Fern Gully, Forest Portrait no. 9",January 1919,Drawing,1985.1.88
37,,Walter Burley Griffin,J.G. Melson Dwelling,1914,Architecture & Design,1985.1.89
38,,Walter Burley Griffin,J.G. Melson Dwelling,1912,Architecture & Design,1985.1.90
39,,Walter Burley Griffin,"J.G. Melson Flower Garden, Mason City, Iowa","Designed 1912, drawn 1914",Architecture & Design,1985.1.91
40,,Walter Burley Griffin,"F.B. Carter Jr. Dwelling, Evanston, Ilinois",1909,Architecture & Design,1985.1.92
41,,Marion Mahony Griffin,"Grounds for Ralph D. Griffin Dwelling, Edwardsville, Illinois",late 1909,Architecture & Design,1985.1.93
42,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.94
43,,Walter Burley Griffin,J.E. Blythe Dwelling,1913,Architecture & Design,1985.1.95
44,,Walter Burley Griffin,"Hurd Comstock House No. 1, Evanston, Illinois",late 1911–early 1912,Drawing,1985.1.96
45,,Walter Burley Griffin,"Hurd Comstock Houses No. 1 and No. 2, Evanston, Illinois",late 1911–early 1912,Drawing,1985.1.97
46,,Walter Burley Griffin,"Frank Pallma Dwelling (""Solid Rock""), Winnetka, Illinois",1911,Drawing,1985.1.98
47,,Walter Burley Griffin,"E. J. Staten Store, Idalia, Florida",1911,Architecture & Design,1985.1.99
